name	id	primary_date	secondary_dates	death	info_pieces	spelling_variants	attributes
Dafrose	1108	4/Januar	NA	NA	NA	NA	martiris,martirum$vidue	
Dagani	1109	13/September	NA	NA	NA	NA	episcopi,episcoporum	
Dagei Iniskinen	1110	18/August	NA	NA	NA	NA	episcopi,episcoporum	
Dagoberti	1111	10/September	NA	NA	NA	NA	martiris,martirum	
Dagoberti Bituricen	1112	19/Januar	NA	1013	[Bourges] D.	NA	episcopi,episcoporum$beati,beate	
Dallani	1113	29/Januar	NA	NA	NA	NA	martiris,martirum	
Dalmatii	1114	10/September	NA	NA	NA	NA	martiris,martirum	
Dalmatii (2)	1115	5/December	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Dalmatii (3)	1116	12/Februar	NA	NA	NA	NA	martiris,martirum	
Dalmatii Monerii ord. predic	1117	24/September	NA	1341	[Barcelona] D.	NA	confessoris$beati,beate	
Dalmatii Ruthenen	1118	13/November	NA	NA	NA	NA	episcopi,episcoporum	
Dalphine , uxoris Elzeari, obitus	1119	26/November	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Damasi	1120	11/December	NA	NA	NA	NA	pape$confessoris	
Damiani et Quiriaci	1121	12/Februar	NA	NA	NA	NA	martiris,martirum	
Damiani Ticinen	1122	12/April	NA	NA	NA	NA	episcopi,episcoporum	
Damiani ord. Predic	1123	26/October	14/Februar	1484	[Reggio, Mod.] A.S.	Valentini et Damiani	confessoris$beati,beate	
Damnii	1124	12/Mai	NA	1184	[Bologna] A.S.	NA	presbyteri	
Danielis	1125	21/Juli	NA	NA	NA	NA	prophete	
Danielis inventio	1126	3/Januar	NA	NA	NA	NA	diaconi$martiris,martirum	
Danielis de Gerardi Monte ord. Cisterc	1127	20/Januar	NA	1232	[Cambrai, Cambron] D.	NA	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Danielis ord. Camaldul	1128	31/März	NA	1411	[Venedig] A.S.	NA	confessoris	
Danielis (2)	1129	22/April	NA	NA	NA	NA	martiris,martirum	
Danielis (3)	1130	24/April	NA	NA	NA	NA	eremite	
Danielis (4)	1131	13/October	NA	1221	[Franciscaner] A.S. (D. auch October B).	NA	martiris,martirum$sociorum,sociis	
Danielis Villarien. ord. Cist	1132	26/December	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Dardulache (Dardaluche, Darlugdache) Kildaren	1133	1/Februar	14/Februar	NA	NA	Darlugdache	virginis,virginum_or_(vor_Namen)_venerabilis	
Darie et Derbilie	1134	26/October	14/Februar	NA	NA	Derbilie$Saturnini, Chrys. Mauri et Darie	virginis,virginum_or_(vor_Namen)_venerabilis	
Darii	1135	12/April	24/August	1491	[Rom] D.$Inventio  August 24 :  [Rom] D.	NA	martiris,martirum$sociorum,sociis	
Dasii	1136	20/October	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Dathi Ravenatis	1137	3/Juli	14/Februar	NA	NA	Hellarii et Daciani	episcopi,episcoporum	
Datii Mediolanen	1138	14/Januar	NA	NA	NA	NA	archiepiscopi	
Davanzati	1139	7/Juli	NA	1295	[Barberino] A.S.	NA	confessoris$beati,beate	
Davidagii (Divagii)	1140	1/Mai	14/Februar	NA	NA	Divagii	episcopi,episcoporum	
Davidis regis (Judee)	1141	29/December	14/Februar	NA	NA	Deovi	NA	
Davidis (Deovi) Meneven	1142	1/März	14/Februar	NA	NA	Deovi	episcopi,episcoporum$confessoris	
Davidis regis Scotie	1143	24/Mai	14/Februar	1154	[Schottland] D.	Deovi	virginis,virginum_or_(vor_Namen)_venerabilis	
Davidis de Munkatorp	1144	25/Juni	14/Februar$15/Juli	1082	Linköping, Skara, Strengnäs, *Westeräs.$Juli 15 :  Upsala (auch A.S.).	Deovi	abbatis	
Davidis Bituricen	1145	17/Juni	14/Februar	NA	NA	Deovi	archiepiscopi	
Davidis Himmenroden	1146	11/December	14/Februar	1179	[Trier] Potthast.	Deovi	monachi$beati,beate	
Davini peregrini cf	1147	3/Juni	NA	1051	[Lucca] A.S.	NA	NA	
Decem milium (militum) (crucifixorum)	1148	22/Juni	NA	NA	NA	NA	martiris,martirum	
Decentii Pisaurien. et Germani	1149	28/October	NA	NA	NA	NA	diaconi$martiris,martirum$episcopi,episcoporum	
Declani Ardmoren	1150	24/Juli	NA	NA	NA	NA	episcopi,episcoporum	
Declani	1151	1/December	NA	NA	NA	NA	confessoris	
Decorosi Capuani	1152	15/Februar	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Decumani	1153	27/August	NA	NA	NA	NA	martiris,martirum$eremite	
Dedicatio ecclesie: Aachen, Marie	1154	17/Juli	14/Februar	NA	NA	- Schwerin Sonntag nach der Octava Michaelis$- Breslau, s. Matthie Sonntag vor Mariä Lichtmess$- Bourges$- Meissen Sonntag nach Maria Geburt$- Paris Sonntag nach Octava Petri et Pauli$- Breslau, Dom Sonntag nach Martini$- Merseburg Sonntag nach Kreuzerhöhung$Consecratio$- Roeskilde Sonntag nach Dionysii$- Cambrai Sonntag nach Thome translatio	sancti,sancte	
Defendentis	1155	2/Januar	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Defunctorum fidelium Commemoratio Animarum omnium Commemoratio (	1156	2/November	NA	NA	NA	NA	sancti,sancte	
Dege	1157	16/August	NA	NA	NA	NA	confessoris	
Deicoli Lutren	1158	18/Januar	NA	NA	NA	NA	abbatis	
Delphini Burdegalen	1159	24/December	NA	NA	NA	NA	episcopi,episcoporum	
Demetriani (Dimitriani) Veronen	1160	15/Mai	14/Februar	NA	NA	Dimitriani	episcopi,episcoporum	
Demetrie	1161	21/Juni	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Demetrii	1162	8/October	NA	NA	NA	NA	martiris,martirum	
Demetrii Vapincen	1163	26/October	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Demetrii et Honorii	1164	21/November	14/Februar	NA	NA	Honorii	martiris,martirum	
Demetrii, Honorati et Flori	1165	22/December	14/Februar	NA	NA	Honorati	martiris,martirum	
Dentelini	1166	16/März	NA	NA	NA	NA	confessoris	
Dentelini pueri	1167	14/Juli	NA	NA	NA	NA	confessoris	
Deocari (Gottlieb) Herrnrieden	1168	7/Juni	NA	NA	NA	NA	abbatis	
Deodati Nivernen	1169	20/Juni	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Deodati	1170	3/Februar	NA	NA	NA	NA	confessoris	
Deodati Blesen	1171	24/April	NA	NA	NA	NA	abbatis	
Deodati Nolani	1172	27/Juni	NA	NA	NA	NA	episcopi,episcoporum	
Deodati (2)	1173	27/September	NA	NA	NA	NA	confessoris	
Deodati Viennen	1174	15/October	NA	NA	NA	NA	episcopi,episcoporum	
Deppe corporis receptio	1175	26/Juni	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Desiderati Bituricen	1176	8/Mai	NA	NA	NA	NA	archiepiscopi	
Desiderati Bisuntini	1177	27/Juli	NA	NA	NA	NA	archiepiscopi	
Desiderati Arvernorum	1178	11/Februar	NA	NA	NA	NA	episcopi,episcoporum	
Desiderati reclusi	1179	30/April	NA	NA	NA	NA	presbyteri	
Desiderati	1180	18/December	NA	NA	NA	NA	monachi	
Desiderii Lingonen	1181	23/Mai	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Desiderii Viennen,	1182	11/Februar	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum$confessoris	
Desiderii (et Festi)	1183	17/September	NA	NA	NA	NA	martiris,martirum	
Desiderii	1184	19/October	NA	NA	NA	NA	episcopi,episcoporum	
Desiderii Autissiodoren	1185	27/October	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Desiderii Tarvannen	1186	20/Januar	NA	1194	[Thérouanne] M.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$episcopi,episcoporum	
Desiderii Redonen. et Regnifridi	1187	18/September	NA	NA	NA	NA	archidiaconi$martiris,martirum$episcopi,episcoporum	
Desiderii (2)	1188	19/October	NA	NA	NA	NA	abbatis$confessoris	
Desiderii Cadurcen	1189	15/November	NA	NA	NA	NA	episcopi,episcoporum	
Designati Trajecten	1190	13/Januar	NA	NA	NA	NA	episcopi,episcoporum	
Deusdedit Cantuarien	1191	15/Juli	NA	NA	NA	NA	episcopi,episcoporum	
Deusdedit	1192	10/August	NA	NA	NA	NA	confessoris	
Deusdedit Casinen	1193	9/October	NA	NA	NA	NA	abbatis	
Deusdedit (2)	1194	8/November	NA	NA	NA	NA	pape	
Deusdedit Brixien	1195	10/December	NA	NA	NA	NA	episcopi,episcoporum	
Devote (Deivote)	1196	27/Januar	14/Februar	NA	NA	Deivote	virginis,virginum_or_(vor_Namen)_venerabilis	
Diabolus recessit a domino	1197	15/Februar	NA	NA	NA	NA	NA	
Diaconani	1198	23/December	NA	NA	NA	NA	confessoris	
Diane ord. predic	1199	10/Juni	NA	1236	[Bologna] A.S.	NA	vidue$beati,beate	
Diaterie	1200	2/October	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Dicentii Santonen	1201	25/Juni	14/Februar	NA	NA	Dizantii	episcopi,episcoporum	
Dictini Asturicen	1202	2/Juni	NA	NA	NA	NA	episcopi,episcoporum	
Diculli	1203	11/Februar	NA	NA	NA	NA	eremite	
Didaci ord. fratr. min	1204	12/November	28/April$13/November	1463, can. 1588	[Spanien, Alcala de Henarez] D. (auch  Apr. 28 ) .$Im heut. Cal. Rom.:  November 13 .	NA	confessoris	
Didimi	1205	22/December	NA	NA	NA	NA	martiris,martirum	
Diepurgis	1206	16/März	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Digne et Merite	1207	23/September	14/Februar	NA	NA	Hilarie, Digne, Eunomie et Eutropie	virginis,virginum_or_(vor_Namen)_venerabilis	
Digne-Merite	1208	17/Juni	14/Februar	NA	NA	Hilarie, Digne, Eunomie et Eutropie	martiris,martirum	
Digne	1209	11/August	14/Februar	NA	NA	Hilarie, Digne, Eunomie et Eutropie	virginis,virginum_or_(vor_Namen)_venerabilis	
Dymne (Dymphne)	1210	15/Mai	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Dinoci	1211	4/Juni	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Diodori, Mariani	1212	1/December	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Diogenis	1213	16/Juni	NA	NA	NA	NA	martiris,martirum	
Diogenis et Stephani	1214	3/August	NA	NA	NA	NA	martiris,martirum	
Dionysii, Rustici et Eleutherii (Dionysii Areopagite; Parisien.)	1215	9/October	14/Februar	NA	NA	Rustici$Eleutherii	martiris,martirum$episcopi,episcoporum	
Dionysii primi Augustani	1216	26/Februar	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Dionysii Corinthiorum	1217	8/April	NA	NA	NA	NA	episcopi,episcoporum	
Dionysii Mediolanen	1218	25/Mai	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Dionysii Alexandrini	1219	17/November	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Dionysii (doctoris ecstatici) ord. Carthus	1220	12/März	NA	1471	[Lüttich, Roermonde] A.S.	NA	confessoris	
Dionysii Viennen	1221	9/Mai	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Dionysii, Celsi et Marcellini	1222	12/Juni	14/Februar	NA	NA	Marcellini$Celsi	martiris,martirum	
Dionysii	1223	26/December	NA	NA	NA	NA	pape	
Disciole	1224	10/März	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Disibodi	1225	8/September	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Divinici	1226	13/November	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Divitiani Suessionen	1227	5/October	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Docuni (Cungar)	1228	6/November	14/Februar	NA	NA	Cungar	martiris,martirum	
Dode et Bove	1229	24/April	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Dode	1230	28/September	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Dodolini Viennen	1231	1/April	NA	NA	NA	NA	episcopi,episcoporum	
Dodonis ord. Premonstr	1232	30/März	NA	1231	[Utrecht] A.S.	NA	confessoris$beati,beate	
Dodonis	1233	7/April	NA	NA	NA	NA	martiris,martirum	
Dodonis Wasleren	1234	28/October	NA	NA	NA	NA	abbatis	
Dogmaelis	1235	14/Juni	NA	NA	NA	NA	confessoris	
Domangarti	1236	24/März	NA	NA	NA	NA	episcopi,episcoporum	
Domanie	1237	1/October	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Dominatoris Brixien	1238	5/November	NA	NA	NA	NA	episcopi,episcoporum	
Domini ascensio neben dem beweglichen Himmelfahrtstage, dem Donnerstag vor Sonntag Exaudi, als fester Tag	1239	5/Mai	NA	NA	NA	NA	NA	
Domini Circumcisio	1240	1/Januar	NA	NA	NA	NA	NA	
Domini clavorum et lancee	1241	4/Mai	NA	NA	NA	NA	NA	
Domini corona spinea (susceptio corone)	1242	4/Mai	NA	NA	NA	NA	NA	
Domini eductio (reductio, relatio) de Egypto	1243	7/Januar	NA	NA	NA	NA	NA	
Domini epiphania (manifestatio, apparitio)	1244	6/Januar	NA	NA	NA	NA	NA	
Domini (Salvatoris) de facie	1245	15/Januar	NA	NA	NA	NA	NA	
Domini (Christi, Salvatoris) imaginis passio	1246	9/November	NA	NA	NA	NA	NA	
Domini inductio in Egyptum	1247	11/Februar	NA	NA	NA	NA	NA	
Domini nativitas	1248	25/December	NA	NA	NA	NA	NA	
Domini (Jesu) nonimis festum	1249	8/Januar	NA	NA	NA	NA	NA	
Domini sanguinis festum (veneratio, adventus, susceptio, reportatio)	1250	26/März	NA	NA	NA	NA	NA	
Domini sudarii (sindonis) missa (Commemoratio, festum)	1251	4/Mai	NA	NA	NA	NA	NA	
Domini transfiguratio	1252	6/August	NA	NA	NA	NA	NA	
Dominice	1253	13/Mai	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Dominice (2)	1254	6/Juli	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Dominici fundatoris ordinis predic	1255	5/August	5/August$5/August$4/August$12/August$24/Mai$23/Mai$4/August$5/August	1221, can. 1234	in der Mehrzahl der Diöcesen und Orden$* bei den Dominicanern.$August 4 :  Brixen, Gnesen, Krakau (auch  August 5 ) , Lüttich (ebenso), Regensburg, Worms (auch  August 5 ) , Würzburg. - Beauvais, Paris (auch  August 5 ) , Rouen. - *Compostella, Tarassona. Auch das neue Miss. Romanum hat  August 4 .$Octava  August 12 :  *Dominicaner.$Translatio  Mai 24 ; Linköping. - Toledo (Mozarab.). - Agram. - *Dominicaner (im 16. Jhdt. auf  Mai 23  verschoben), Pauliner.	NA	confessoris	
Dominici Calciaten	1256	12/Mai	NA	1109	[Calahorra, S. Domingo de la Calzada] D., Compostella.	NA	confessoris	
Dominici de Silos	1257	20/December	NA	1073	(Burgos) Mab., Compostella, Sevilla, Tarassona.	NA	abbatis$confessoris	
Dominici in Soriano	1258	22/Januar	NA	1031	(Benedictiner] A.S.	NA	abbatis	
Dominici Vernagalli ord. Camald	1259	20/April	NA	1218	[Pisa] A.S.	NA	beati,beate	
Dominici Leonesii ord. fratr. min	1260	20/April	NA	1497	[Urbino] A.S.	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Dominici Vallii pueri a Judeis occisi	1261	31/August	NA	1250	[Saragossa] A.S.	NA	martiris,martirum	
Dominici Loricati ord. Camald	1262	14/October	NA	1060	[San Severino] A.S.	NA	confessoris$beati,beate	
Dominici Brixien	1263	20/December	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Dominii	1264	13/November	NA	NA	NA	NA	solitarii	
Domitiani Trajecten	1265	7/Mai	14/Februar	NA	NA	Tuitiani	episcopi,episcoporum$confessoris	
Domitiani Ramberti Jurensis	1266	1/Juli	14/Februar	NA	NA	Tuitiani	abbatis$confessoris$sancti,sancte	
Domitiani (Tuitiani) Carinthie ducis	1267	5/Februar	14/Februar	NA	NA	Tuitiani	beati,beate	
Domitiani	1268	22/Juni	14/Februar	NA	NA	Tuitiani	solitarii	
Domitiani Catalaunen	1269	9/August	14/Februar	NA	NA	Tuitiani	episcopi,episcoporum$confessoris	
Domitii non	1270	23/October	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Domitille	1271	7/Mai	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Domni	1272	13/März	NA	NA	NA	NA	pape	
Domnii (Domnionis) Salonitani	1273	11/April	14/Februar	NA	NA	Domnionis	episcopi,episcoporum	
Domnini	1274	9/October	NA	NA	NA	NA	martiris,martirum	
Domnini Dinien	1275	13/Februar	NA	NA	NA	NA	episcopi,episcoporum	
Domnini (2)	1276	15/Mai	NA	NA	NA	NA	diaconi	
Domnini Apriliacen	1277	16/Juli	NA	NA	NA	NA	sociorum,sociis	
Domnini (3)	1278	9/October	NA	NA	NA	NA	confessoris	
Domnini Viennen	1279	3/November	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Domnionis	1280	16/Juli	NA	NA	NA	NA	martiris,martirum	
Domnionis (2)	1281	28/December	NA	NA	NA	NA	presbyteri	
Domnoleni	1282	25/Juni	14/Februar	NA	NA	Tonnoleni	confessoris	
Domnoleni (2)	1283	21/October	14/Februar	NA	NA	Tonnoleni	confessoris	
Domnoli Cenoman	1284	1/December	NA	NA	NA	NA	episcopi,episcoporum	
Domnoli Viennen	1285	16/Juni	NA	NA	NA	NA	episcopi,episcoporum	
Domnonis	1286	5/Januar	NA	NA	NA	NA	martiris,martirum	
Donani	1287	17/April	18/April	1040	[S. Brieux] D. - Aberdon.$Translatio  Apr. 18 :  D.|| |90|	NA	abbatis	
Donate	1288	31/December	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Donati Aretini	1289	7/August	14/Februar	NA	NA	Hilariani$Quinti, Arcontii et Donati	martiris,martirum$episcopi,episcoporum	
Donati (Secundiani, Eutychii)	1290	17/Februar	14/Februar	NA	NA	Hilariani$Quinti, Arcontii et Donati	martiris,martirum$sociorum,sociis	
Donati	1291	1/März	14/Februar	NA	NA	Hilariani$Quinti, Arcontii et Donati	martiris,martirum$episcopi,episcoporum	
Donati et Jacincti	1292	26/Juli	14/Februar	NA	NA	Hilariani$Quinti, Arcontii et Donati	martiris,martirum	
Donati Bisuntini	1293	7/August	14/Februar	NA	NA	Hilariani$Quinti, Arcontii et Donati	episcopi,episcoporum$confessoris	
Donati Sigistericen	1294	18/August	14/Februar	NA	NA	Hilariani$Quinti, Arcontii et Donati	presbyteri$confessoris	
Donati Foro Julii	1295	21/August	14/Februar	NA	NA	Hilariani$Quinti, Arcontii et Donati	martiris,martirum$sociorum,sociis	
Donati Montis Virginis, ord. Ben	1296	17/August	14/Februar	1190	[Salerno] A.S.	Hilariani$Quinti, Arcontii et Donati	abbatis$sancti,sancte	
Donati Scoti Fesulani	1297	22/October	14/Februar	NA	NA	Hilariani$Quinti, Arcontii et Donati	episcopi,episcoporum	
Donati (2)	1298	1/November	14/Februar	NA	NA	Hilariani$Quinti, Arcontii et Donati	abbatis	
Donatiani et Rogatiani	1299	24/Mai	14/Februar	NA	NA	Hilariani$Quinti, Arcontii et Donati$Rogatiani	martiris,martirum	
Donatiani Remensis	1300	14/October	14/Februar	NA	NA	Hilariani$Quinti, Arcontii et Donati	episcopi,episcoporum$confessoris	
Donatiani Catalaunen	1301	7/August	14/Februar	NA	NA	Hilariani$Quinti, Arcontii et Donati	episcopi,episcoporum	
Donevaldi	1302	15/Juli	NA	NA	NA	NA	confessoris	
Donoaldi	1303	11/August	NA	NA	NA	NA	martiris,martirum	
Donorcii Murthlacen	1304	20/August	NA	NA	NA	NA	episcopi,episcoporum	
Dorbhenei Hyen	1305	28/October	NA	NA	NA	NA	abbatis	
Dori Beneventani	1306	20/November	NA	NA	NA	NA	episcopi,episcoporum	
Dorothee	1307	6/Februar	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Dorothee patrone Prussie	1308	25/Juni	NA	1394	[Pomesanien] D.	NA	vidue$beati,beate	
Dorothee (2)	1309	28/October	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Dorothei	1310	9/September	NA	NA	NA	NA	martiris,martirum	
Dorothei (2)	1311	28/März	NA	NA	NA	NA	confessoris	
Dorothei (3)	1312	15/Mai	NA	NA	NA	NA	eremite$beati,beate	
Drausi Suessionen	1313	5/März	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Droctoaldi Autissiodoren	1314	8/November	NA	NA	NA	NA	episcopi,episcoporum	
Droctovei S. Vincentii Parisien, ( Germain- des-Pres)	1315	10/März	NA	NA	NA	NA	abbatis$sancti,sancte	
Drogonis reclusi	1316	16/April	NA	1186	[Cambrai, Seburg] A.S.	NA	NA	
Drostani	1317	14/December	NA	NA	NA	NA	abbatis$confessoris	
Druthmari Corbejen	1318	15/Februar	NA	1046	[Paderborn] Mab.	NA	abbatis$beati,beate	
Dubricii Landaffien	1319	14/November	NA	NA	NA	NA	episcopi,episcoporum	
Ducentorum et viginti	1320	30/October	NA	NA	NA	NA	martiris,martirum	
Dulcardi	1321	25/October	NA	NA	NA	NA	confessoris$eremite	
Dulcidii Agenen	1322	17/October	NA	NA	NA	NA	episcopi,episcoporum	
Dulciline begine	1323	1/September	NA	1274	[Marseille] M.	NA	NA	
Dulcilini	1324	8/Juli	NA	NA	NA	NA	confessoris	
Dulcissime	1325	16/September	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Dulcissimi et Carissimi	1326	19/April	NA	NA	NA	NA	martiris,martirum	
Dunstani Cantuarien	1327	19/Mai	NA	NA	NA	NA	archiepiscopi$confessoris	
Duodecim fratrum	1328	1/September	NA	NA	NA	NA	martiris,martirum	
Duthaci Rossmarken	1329	8/März	NA	ca. 1250	Aberdon.	NA	episcopi,episcoporum$confessoris	
Dutherii Nicien	1330	28/August	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Duvani	1331	11/November	NA	NA	NA	NA	presbyteri	
Eadberti Lindisfarnen	1332	6/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Eadburge	1333	15/Juni	14/Februar	NA	NA	Edburge	virginis,virginum_or_(vor_Namen)_venerabilis	
Eadburge de Thanet abbatisse	1334	13/December	14/Februar	NA	NA	Edburge	NA	
Eadnochi	1335	19/October	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Eadsii Cantuarien	1336	29/October	NA	1050	[Canterbury] A.S. |91|	NA	archiepiscopi	
Ealswithe regine	1337	5/December	NA	NA	NA	NA	NA	
Eanswide Folkstonien	1338	31/August	NA	NA	NA	NA	abbatis	
Earcongote	1339	23/Februar	14/Februar	NA	NA	Eorcungode	virginis,virginum_or_(vor_Namen)_venerabilis	
Eate Lindisfarnen. et Hagulstaden	1340	26/October	NA	NA	NA	NA	abbatis$episcopi,episcoporum	
Ebbe non ( Coldinghamen.)	1341	23/August	NA	NA	NA	NA	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis$martiris,martirum	
Ebbonis Senonen	1342	27/August	NA	NA	NA	NA	episcopi,episcoporum	
Eberhardi Salisburgen	1343	22/Juni	14/Februar	1164	Salzburg.	Everardi	archiepiscopi	
Eberhardi com. Nellenburgen., Schafhusie ord. Ben	1344	7/April	14/Februar	ca. 1106	[Konstanz] A.S.	Everardi	monachi$sancti,sancte	
Eberhardi Marchthalen. ord. Premon	1345	17/April	14/Februar	1179	[Konstanz] A.S.	Everardi	prepositi$beati,beate	
Eberhardi Einsiedlen	1346	14/August	14/Februar	NA	NA	Everardi	abbatis	
Eberhardi opilionis	1347	28/September	14/Februar	NA	NA	Everardi	NA	
Eberhardi de Staleck fundatoris abbatie ord. Cisterc. (saec. XII)	1348	30/November	14/Februar	NA	NA	Everardi	virginis,virginum_or_(vor_Namen)_venerabilis	
Eberhardi (Everardi)	1349	16/December	14/Februar	NA	NA	Everardi	NA	
Ebregisili Melden	1350	31/August	NA	NA	NA	NA	episcopi,episcoporum	
Ebremundi Fontaneten	1351	10/Juni	NA	NA	NA	NA	abbatis	
Ebrulfi Bellovacen	1352	26/Juli	NA	NA	NA	NA	abbatis	
Ebrulfi Uticen	1353	29/December	NA	NA	NA	NA	abbatis$confessoris	
Ecclesii Ravennatis	1354	27/Juli	NA	NA	NA	NA	episcopi,episcoporum	
Echeni (Eciani) Cluanfodien	1355	11/Februar	NA	NA	NA	NA	episcopi,episcoporum	
Edgari regis	1356	8/Juli	NA	NA	NA	NA	NA	
Edibii Suessionen	1357	10/December	NA	NA	NA	NA	episcopi,episcoporum	
Edicii (Hecdici) Viennen	1358	23/October	14/Februar	NA	NA	Hecdici$Ecdici	episcopi,episcoporum	
Edictii	1359	13/März	NA	NA	NA	NA	martiris,martirum	
Edigne	1360	26/Februar	NA	1109	[Baiern, Buech] A.S.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$beati,beate	
Edithe (Eadgithe) non	1361	16/September	14/Februar	NA	NA	Eadgithe	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Salisbury, Winchester (depositio). || Translatio	1362	3/November	NA	NA	NA	NA	NA	
Edmundi regis	1363	20/November	14/Februar	NA	NA	Eadmundi	martiris,martirum	
Edmundi Cantuarien	1364	16/November	17/November$9/Juni$14/Februar$15/November	1240, can. 1247	Köln.- Kjöbenhavn, Trondhjem, Upsala, Westerås.- (Canterbury) D., Durham, London (Westminster), *Salisbury (depositio), Winchester (depositio), Worcester, York.- *Cistercienser.$November 15 :  Breslau, Gnesen.$November 17 :  Lyon,$Translatio  Juni 9 :  (Canterbury) D., London (Westminster), *Salisbury, Winchester, Worcester.	Eadmundi	episcopi,episcoporum$confessoris	
Eduardi regis	1365	5/Januar	7/Januar$20/October$12/Januar$13/October	1066	*London (Westminster), Salisbury, Winchester (depositio), York (depositio).$Januar 7 :  Cluniacenser.$Octava  Januar 12 :  London (Westminster).$Translatio  October 13 :  Erfurt.- Åbo.- Rouen.- *London (Westminster). *Salisbury (Transl.), Winchester, Worcester, York (Transl.).- Dominicaner.$Octava translationis  October 20 :  London (Westminster).	NA	confessoris	
Eduardi (Edwardi, Eadweardi) regis	1366	18/März	NA	NA	NA	NA	martiris,martirum	
Edwini regis	1367	12/October	NA	NA	NA	NA	NA	
Eelkonis Liaukame Lidlumen. ord. Premonstr	1368	22/März	NA	1332	[Utrecht, Lidlum] A.S.	NA	abbatis$beati,beate	
Effremi	1369	9/Juli	14/Februar	NA	NA	Ephremi	diaconi$confessoris	
Egberti Hyen	1370	24/April	NA	NA	NA	NA	presbyteri	
Egberti regis	1371	20/August	NA	NA	NA	NA	NA	
Egberti Treviren	1372	9/December	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis$episcopi,episcoporum	
Egecii	1373	3/November	NA	NA	NA	NA	episcopi,episcoporum	
Egelwini	1374	28/November	NA	NA	NA	NA	confessoris	
Egidii	1375	1/September	14/Februar	NA	NA	Aegidii	abbatis$confessoris	
Egidii de Vaocella ord. predic	1376	14/Mai	14/Februar	1265	[Portugal] A.S.	Aegidii	confessoris$beati,beate	
Egidii de Assisi tertii ord. Franc	1377	23/April	14/Februar	1262	[Perugia] A.S.	Aegidii	sancti,sancte$beati,beate	
Egwini Wigornien	1378	11/Januar	NA	NA	NA	NA	episcopi,episcoporum	
Ehoarni	1379	11/Februar	NA	NA	NA	NA	martiris,martirum$eremite	
