name	id	primary_date	secondary_dates	death	info_pieces	spelling_variants	attributes
Adelarii	63	20/April	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Adelesmi (Adelelmi) Burgen	64	30/Januar	NA	ca. 1100	[Burgos] A. S., Compostella.	NA	abbatis$confessoris	
Adelindis Buchovien	65	28/August	NA	NA	NA	NA	abbatis$beati,beate	
Adelphi (Adolphi) Meten	66	29/August	14/Februar	NA	NA	Adelfi$Adolfi	episcopi,episcoporum	
Adelphii Romarici montis	67	11/September	14/Februar	NA	NA	Adelfi$Adolfi	abbatis	
Adeltrudis comitisse	68	14/November	NA	NA	NA	NA	NA	
Adenete (Adrechildis) abbatisse	69	4/December	14/Februar	NA	NA	Adrechildis	NA	
Adeodati Nolen	70	27/Juni	NA	NA	NA	NA	episcopi,episcoporum	
Adeodati Gallianen	71	2/Juli	NA	NA	NA	NA	presbyteri$confessoris	
Aderaldi (Alderaldi)	72	20/October	14/Februar	nach 1000	Troyes.	Alderaldi	archidiaconi$confessoris	
Aderiti Ravennatis	73	27/September	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Adfridi	74	26/October	NA	NA	NA	NA	presbyteri$confessoris	
Adilie	75	30/Juni	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Adjutoris Tironien. ord. Ben	76	30/April	NA	ca. 1131	[Rouen] A. S.	NA	monachi$sancti,sancte	
Adjutoris	77	26/Juni	NA	NA	NA	NA	confessoris	
Adjutoris (2)	78	19/November	NA	NA	NA	NA	martiris,martirum	
Adjutoris (3)	79	16/December	NA	NA	NA	NA	NA	
Adolfi Osnabr	80	11/Februar	14/Februar	1224	Osnabrück.	Adulfi$Odulfi	episcopi,episcoporum$confessoris	
Adonis Viennen	81	16/December	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Adoratoris	82	3/März	NA	NA	NA	NA	confessoris	
Adriani	83	8/September	14/Februar	NA	NA	Hadriani	martiris,martirum	
Adriani (2)	84	4/März	14/Februar	NA	NA	Hadriani	martiris,martirum	
Adriani (3)	85	1/März	14/Februar	NA	NA	Hadriani	martiris,martirum	
Adriani et Natalie	86	17/Juni	14/Februar	NA	NA	Hadriani	martiris,martirum	
Adriani (4)	87	9/Januar	14/Februar	NA	NA	Hadriani	abbatis	
Adriani (5)	88	21/Juli	14/Februar	NA	NA	Hadriani	martiris,martirum	
Adriani (6)	89	22/Juli	14/Februar	NA	NA	Hadriani	confessoris	
Adulfi et Johannis fratrum	90	27/September	14/Februar	NA	NA	Odulfi$Johannis	martiris,martirum	
Adulfi	91	13/November	14/Februar	NA	NA	Odulfi	NA	
Aelredi (Ealredi) Rievallen. ord. Cisterc	92	12/Januar	14/Februar	1166	[York] A. S.	Ealredi	abbatis	
Aengussii	93	11/März	NA	NA	NA	NA	abbatis$beati,beate	
Aerchi (Erchi)	94	2/November	14/Februar	NA	NA	Erchi (Erci)	confessoris	
Aetii	95	14/August	NA	NA	NA	NA	NA	
Afre	96	7/August	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis$sociorum,sociis	
Afre (2)	97	24/Mai	NA	NA	NA	NA	martiris,martirum$vidue	
Afri	98	5/August	NA	NA	NA	NA	martiris,martirum	
Africani (Africi)	99	1/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Afrodisii (Efrodisii) Biterren	100	22/März	14/Februar	NA	NA	Efrodisii	episcopi,episcoporum$confessoris	
Agabii Veronen	101	4/August	NA	NA	NA	NA	episcopi,episcoporum	
Agabii Novaren	102	10/September	NA	NA	NA	NA	episcopi,episcoporum	
Agape, Ciconie (Chionie) et Hyrene	103	5/April	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Agape	104	15/Februar	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Agape (2)	105	8/August	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Agapiti	106	18/August	NA	NA	NA	NA	martiris,martirum	
Agapiti Ravennatis	107	16/März	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Agapiti translatio	108	20/September	14/Februar	NA	NA	Stapini	pape	
Agathe	109	5/Februar	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Agatimbri et Rufi Meten	110	11/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Agathonis	111	10/Januar	NA	NA	NA	NA	pape	
Agathonis Liparen	112	27/Juni	NA	NA	NA	NA	episcopi,episcoporum	
Agathonis et Triphine	113	5/Juli	14/Februar	NA	NA	Triphine	martiris,martirum	
Agenti et Donati	114	11/Januar	NA	NA	NA	NA	martiris,martirum	
Agerici Virdunen	115	1/December	NA	NA	NA	NA	episcopi,episcoporum	
Agerici Turonen	116	11/April	NA	NA	NA	NA	abbatis	
Agie comitisse	117	18/April	14/Februar	NA	NA	Aye	NA	
Agilberte abbatisse Jotren	118	11/August	NA	NA	NA	NA	NA	
Agilberti Dorcestren. deinde Parisien	119	11/October	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis$episcopi,episcoporum	
Agili (Resbacen.)	120	30/August	NA	NA	NA	NA	abbatis	
Agilolfi Colonien	121	9/Juli	NA	NA	NA	NA	archiepiscopi$martiris,martirum	
Agliberti et Agoardi	122	24/Juni	NA	NA	NA	NA	martiris,martirum	
Agliberti et Godeberti Andegaven. reliquiarum inventio	123	6/März	14/Februar	NA	NA	Godeberti	episcopi,episcoporum	
Agnelli Ravennatis	124	30/Juli	NA	NA	NA	NA	archiepiscopi	
Agnelli	125	14/December	NA	NA	NA	NA	abbatis	
Agnetis	126	21/Januar	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Agnetis de Bohemia ord. Clere	127	6/März	NA	1282	[Prag] A. S.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$sancti,sancte	
Agnetis de Monte Politiano ord. Domin	128	20/April	NA	1317	[Montepulciano] A. S.	NA	sancti,sancte	
Agnetis et Disciole	129	13/Mai	14/Februar	NA	NA	Disciole	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Agnetis ord. Franc	130	28/August	NA	ca. 1255	[Florenz] D.	NA	abbatis$sancti,sancte	
Agnetis de Jesu ord. Domin	131	19/October	NA	1634	[Clermont, Langeac] D.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$sancti,sancte	
Agni et Magni	132	19/August	NA	NA	NA	NA	martiris,martirum	
Agoardi et Agliberti	133	24/Juni	NA	NA	NA	NA	martiris,martirum	
Agobardi Lugdunen	134	6/Juni	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Agonis Pictavien	135	18/August	NA	NA	NA	NA	episcopi,episcoporum	
Agrati et Castoris Viennen	136	14/October	14/Februar	NA	NA	Castoris	episcopi,episcoporum$confessoris	
Agricolai Trajecten	137	5/Februar	NA	NA	NA	NA	episcopi,episcoporum	
Agricole Cabilonen	138	17/März	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Agricole	139	20/October	NA	NA	NA	NA	presbyteri$confessoris	
Agricoli Avinionen	140	2/September	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Agricoli et Eoladi Nivernen	141	26/Februar	14/Februar	NA	NA	Eoladi	episcopi,episcoporum	
Agrippani Podien, et Ursicini	142	1/Februar	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Agrippine translatio	143	23/Juni	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Agrippini Augustodunen	144	1/Januar	NA	NA	NA	NA	episcopi,episcoporum	
Agrippini Comen	145	17/Juni	NA	NA	NA	NA	episcopi,episcoporum	
Agrippini (Arpini) Neapolitani	146	9/November	NA	NA	NA	NA	episcopi,episcoporum	
